Company Name,Exchange,Symbol,Company_Name,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"comScore, Inc. (NasdaqGS:SCOR)",NasdaqGS:SCOR,SCOR,"comScore, Inc.",Advertising,Communication Services,7370,United States,United States,United States
"Creative Realities, Inc. (NasdaqCM:CREX)",NasdaqCM:CREX,CREX,"Creative Realities, Inc.",Advertising,Communication Services,7372,United States,United States,United States
GD Culture Group Limited (NasdaqCM:GDC),NasdaqCM:GDC,GDC,GD Culture Group Limited,Advertising,Communication Services,8742,United States,United States,United States
"Stran & Company, Inc. (NasdaqCM:SWAG)",NasdaqCM:SWAG,SWAG,"Stran & Company, Inc.",Advertising,Communication Services,7311,United States,United States,United States
LQR House Inc. (NasdaqCM:YHC),NasdaqCM:YHC,YHC,LQR House Inc.,Advertising,Communication Services,7311,United States,United States,United States
"Lendway, Inc. (NasdaqCM:LDWY)",NasdaqCM:LDWY,LDWY,"Lendway, Inc.",Advertising,Communication Services,6159,United States,United States,United States
"Direct Digital Holdings, Inc. (NasdaqCM:DRCT)",NasdaqCM:DRCT,DRCT,"Direct Digital Holdings, Inc.",Advertising,Communication Services,7311,United States,United States,United States
Asset Entities Inc. (NasdaqCM:ASST),NasdaqCM:ASST,ASST,Asset Entities Inc.,Advertising,Communication Services,7311,United States,United States,United States
Treasure Global Inc. (NasdaqCM:TGL),NasdaqCM:TGL,TGL,Treasure Global Inc.,Advertising,Communication Services,7310,United States,United States,United States
General Electric Company (NYSE:GE),NYSE:GE,GE,General Electric Company,Aerospace/Defense,Industrials,9997,United States,United States,United States
RTX Corporation (NYSE:RTX),NYSE:RTX,RTX,RTX Corporation,Aerospace/Defense,Industrials,3724,United States,United States,United States
The Boeing Company (NYSE:BA),NYSE:BA,BA,The Boeing Company,Aerospace/Defense,Industrials,3721,United States,United States,United States
Lockheed Martin Corporation (NYSE:LMT),NYSE:LMT,LMT,Lockheed Martin Corporation,Aerospace/Defense,Industrials,3760,United States,United States,United States
General Dynamics Corporation (NYSE:GD),NYSE:GD,GD,General Dynamics Corporation,Aerospace/Defense,Industrials,3721,United States,United States,United States
TransDigm Group Incorporated (NYSE:TDG),NYSE:TDG,TDG,TransDigm Group Incorporated,Aerospace/Defense,Industrials,3728,United States,United States,United States
Northrop Grumman Corporation (NYSE:NOC),NYSE:NOC,NOC,Northrop Grumman Corporation,Aerospace/Defense,Industrials,3812,United States,United States,United States
"Axon Enterprise, Inc. (NasdaqGS:AXON)",NasdaqGS:AXON,AXON,"Axon Enterprise, Inc.",Aerospace/Defense,Industrials,3480,United States,United States,United States
Howmet Aerospace Inc. (NYSE:HWM),NYSE:HWM,HWM,Howmet Aerospace Inc.,Aerospace/Defense,Industrials,3728,United States,United States,United States
"L3Harris Technologies, Inc. (NYSE:LHX)",NYSE:LHX,LHX,"L3Harris Technologies, Inc.",Aerospace/Defense,Industrials,3812,United States,United States,United States
HEICO Corporation (NYSE:HEI),NYSE:HEI,HEI,HEICO Corporation,Aerospace/Defense,Industrials,3724,United States,United States,United States
Textron Inc. (NYSE:TXT),NYSE:TXT,TXT,Textron Inc.,Aerospace/Defense,Industrials,3721,United States,United States,United States
Curtiss-Wright Corporation (NYSE:CW),NYSE:CW,CW,Curtiss-Wright Corporation,Aerospace/Defense,Industrials,3728,United States,United States,United States
"Rocket Lab USA, Inc. (NasdaqCM:RKLB)",NasdaqCM:RKLB,RKLB,"Rocket Lab USA, Inc.",Aerospace/Defense,Industrials,3760,United States,United States,United States
"BWX Technologies, Inc. (NYSE:BWXT)",NYSE:BWXT,BWXT,"BWX Technologies, Inc.",Aerospace/Defense,Industrials,3500,United States,United States,United States
"Woodward, Inc. (NasdaqGS:WWD)",NasdaqGS:WWD,WWD,"Woodward, Inc.",Aerospace/Defense,Industrials,3720,United States,United States,United States
"Leonardo DRS, Inc. (NasdaqGS:DRS)",NasdaqGS:DRS,DRS,"Leonardo DRS, Inc.",Aerospace/Defense,Industrials,3812,United States,United States,United States
"StandardAero, Inc. (NYSE:SARO)",NYSE:SARO,SARO,"StandardAero, Inc.",Aerospace/Defense,Industrials,4581,United States,United States,United States
"Huntington Ingalls Industries, Inc. (NYSE:HII)",NYSE:HII,HII,"Huntington Ingalls Industries, Inc.",Aerospace/Defense,Industrials,3730,United States,United States,United States
Loar Holdings Inc. (NYSE:LOAR),NYSE:LOAR,LOAR,Loar Holdings Inc.,Aerospace/Defense,Industrials,3728,United States,United States,United States
Moog Inc. (NYSE:MOG.A),NYSE:MOG.A,MOG.A,Moog Inc.,Aerospace/Defense,Industrials,3728,United States,United States,United States
Hexcel Corporation (NYSE:HXL),NYSE:HXL,HXL,Hexcel Corporation,Aerospace/Defense,Industrials,2821,United States,United States,United States
"AeroVironment, Inc. (NasdaqGS:AVAV)",NasdaqGS:AVAV,AVAV,"AeroVironment, Inc.",Aerospace/Defense,Industrials,3721,United States,United States,United States
Archer Aviation Inc. (NYSE:ACHR),NYSE:ACHR,ACHR,Archer Aviation Inc.,Aerospace/Defense,Industrials,4522,United States,United States,United States
"Kratos Defense & Security Solutions, Inc. (NasdaqGS:KTOS)",NasdaqGS:KTOS,KTOS,"Kratos Defense & Security Solutions, Inc.",Aerospace/Defense,Industrials,7370,United States,United States,United States
"Spirit AeroSystems Holdings, Inc. (NYSE:SPR)",NYSE:SPR,SPR,"Spirit AeroSystems Holdings, Inc.",Aerospace/Defense,Industrials,3728,United States,United States,United States
"Mercury Systems, Inc. (NasdaqGS:MRCY)",NasdaqGS:MRCY,MRCY,"Mercury Systems, Inc.",Aerospace/Defense,Industrials,3670,United States,United States,United States
AAR Corp. (NYSE:AIR),NYSE:AIR,AIR,AAR Corp.,Aerospace/Defense,Industrials,5080,United States,United States,United States
"Eve Holding, Inc. (NYSE:EVEX)",NYSE:EVEX,EVEX,"Eve Holding, Inc.",Aerospace/Defense,Industrials,3721,United States,United States,United States
"V2X, Inc. (NYSE:VVX)",NYSE:VVX,VVX,"V2X, Inc.",Aerospace/Defense,Industrials,8744,United States,United States,United States
"Intuitive Machines, Inc. (NasdaqGM:LUNR)",NasdaqGM:LUNR,LUNR,"Intuitive Machines, Inc.",Aerospace/Defense,Industrials,3760,United States,United States,United States
"Triumph Group, Inc. (NYSE:TGI)",NYSE:TGI,TGI,"Triumph Group, Inc.",Aerospace/Defense,Industrials,3728,United States,United States,United States
"Cadre Holdings, Inc. (NYSE:CDRE)",NYSE:CDRE,CDRE,"Cadre Holdings, Inc.",Aerospace/Defense,Industrials,3480,United States,United States,United States
Redwire Corporation (NYSE:RDW),NYSE:RDW,RDW,Redwire Corporation,Aerospace/Defense,Industrials,3760,United States,United States,United States
Ducommun Incorporated (NYSE:DCO),NYSE:DCO,DCO,Ducommun Incorporated,Aerospace/Defense,Industrials,3728,United States,United States,United States
"National Presto Industries, Inc. (NYSE:NPK)",NYSE:NPK,NPK,"National Presto Industries, Inc.",Aerospace/Defense,Industrials,3480,United States,United States,United States
Byrna Technologies Inc. (NasdaqCM:BYRN),NasdaqCM:BYRN,BYRN,Byrna Technologies Inc.,Aerospace/Defense,Industrials,3480,United States,United States,United States
Astronics Corporation (NasdaqGS:ATRO),NasdaqGS:ATRO,ATRO,Astronics Corporation,Aerospace/Defense,Industrials,3640,United States,United States,United States
AerSale Corporation (NasdaqCM:ASLE),NasdaqCM:ASLE,ASLE,AerSale Corporation,Aerospace/Defense,Industrials,5080,United States,United States,United States
Park Aerospace Corp. (NYSE:PKE),NYSE:PKE,PKE,Park Aerospace Corp.,Aerospace/Defense,Industrials,3672,United States,United States,United States
"Virgin Galactic Holdings, Inc. (NYSE:SPCE)",NYSE:SPCE,SPCE,"Virgin Galactic Holdings, Inc.",Aerospace/Defense,Industrials,4700,United States,United States,United States
"Innovative Solutions and Support, Inc. (NasdaqGS:ISSC)",NasdaqGS:ISSC,ISSC,"Innovative Solutions and Support, Inc.",Aerospace/Defense,Industrials,3575,United States,United States,United States
"VirTra, Inc. (NasdaqCM:VTSI)",NasdaqCM:VTSI,VTSI,"VirTra, Inc.",Aerospace/Defense,Industrials,3690,United States,United States,United States
"CPI Aerostructures, Inc. (NYSEAM:CVU)",NYSEAM:CVU,CVU,"CPI Aerostructures, Inc.",Aerospace/Defense,Industrials,3728,United States,United States,United States
Safe Pro Group Inc. (NasdaqCM:SPAI),NasdaqCM:SPAI,SPAI,Safe Pro Group Inc.,Aerospace/Defense,Industrials,3842,United States,United States,United States
"Optex Systems Holdings, Inc (NasdaqCM:OPXS)",NasdaqCM:OPXS,OPXS,"Optex Systems Holdings, Inc",Aerospace/Defense,Industrials,3827,United States,United States,United States
"SIFCO Industries, Inc. (NYSEAM:SIF)",NYSEAM:SIF,SIF,"SIFCO Industries, Inc.",Aerospace/Defense,Industrials,3724,United States,United States,United States
"Sidus Space, Inc. (NasdaqCM:SIDU)",NasdaqCM:SIDU,SIDU,"Sidus Space, Inc.",Aerospace/Defense,Industrials,3760,United States,United States,United States
Momentus Inc. (NasdaqCM:MNTS),NasdaqCM:MNTS,MNTS,Momentus Inc.,Aerospace/Defense,Industrials,3670,United States,United States,United States
Air Industries Group (NYSEAM:AIRI),NYSEAM:AIRI,AIRI,Air Industries Group,Aerospace/Defense,Industrials,3728,United States,United States,United States
"Delta Air Lines, Inc. (NYSE:DAL)",NYSE:DAL,DAL,"Delta Air Lines, Inc.",Air Transport,Industrials,4512,United States,United States,United States
"United Airlines Holdings, Inc. (NasdaqGS:UAL)",NasdaqGS:UAL,UAL,"United Airlines Holdings, Inc.",Air Transport,Industrials,4512,United States,United States,United States
Southwest Airlines Co. (NYSE:LUV),NYSE:LUV,LUV,Southwest Airlines Co.,Air Transport,Industrials,4512,United States,United States,United States
American Airlines Group Inc. (NasdaqGS:AAL),NasdaqGS:AAL,AAL,American Airlines Group Inc.,Air Transport,Industrials,4512,United States,United States,United States
"Alaska Air Group, Inc. (NYSE:ALK)",NYSE:ALK,ALK,"Alaska Air Group, Inc.",Air Transport,Industrials,4512,United States,United States,United States
"Joby Aviation, Inc. (NYSE:JOBY)",NYSE:JOBY,JOBY,"Joby Aviation, Inc.",Air Transport,Industrials,4522,United States,United States,United States
"SkyWest, Inc. (NasdaqGS:SKYW)",NasdaqGS:SKYW,SKYW,"SkyWest, Inc.",Air Transport,Industrials,4512,United States,United States,United States
JetBlue Airways Corporation (NasdaqGS:JBLU),NasdaqGS:JBLU,JBLU,JetBlue Airways Corporation,Air Transport,Industrials,4512,United States,United States,United States
Allegiant Travel Company (NasdaqGS:ALGT),NasdaqGS:ALGT,ALGT,Allegiant Travel Company,Air Transport,Industrials,4512,United States,United States,United States
"Frontier Group Holdings, Inc. (NasdaqGS:ULCC)",NasdaqGS:ULCC,ULCC,"Frontier Group Holdings, Inc.",Air Transport,Industrials,4512,United States,United States,United States
Wheels Up Experience Inc. (NYSE:UP),NYSE:UP,UP,Wheels Up Experience Inc.,Air Transport,Industrials,4522,United States,United States,United States
"Sun Country Airlines Holdings, Inc. (NasdaqGS:SNCY)",NasdaqGS:SNCY,SNCY,"Sun Country Airlines Holdings, Inc.",Air Transport,Industrials,4512,United States,United States,United States
Sky Harbour Group Corporation (NYSEAM:SKYH),NYSEAM:SKYH,SKYH,Sky Harbour Group Corporation,Air Transport,Industrials,4581,United States,United States,United States
"Blade Air Mobility, Inc. (NasdaqCM:BLDE)",NasdaqCM:BLDE,BLDE,"Blade Air Mobility, Inc.",Air Transport,Industrials,4522,United States,United States,United States
Surf Air Mobility Inc. (NYSE:SRFM),NYSE:SRFM,SRFM,Surf Air Mobility Inc.,Air Transport,Industrials,4512,United States,United States,United States
"flyExclusive, Inc. (NYSEAM:FLYX)",NYSEAM:FLYX,FLYX,"flyExclusive, Inc.",Air Transport,Industrials,4522,United States,United States,United States
"Mesa Air Group, Inc. (NasdaqCM:MESA)",NasdaqCM:MESA,MESA,"Mesa Air Group, Inc.",Air Transport,Industrials,4512,United States,United States,United States
"Volato Group, Inc. (NYSEAM:SOAR)",NYSEAM:SOAR,SOAR,"Volato Group, Inc.",Air Transport,Industrials,4522,United States,United States,United States
Jet.AI Inc. (NasdaqCM:JTAI),NasdaqCM:JTAI,JTAI,Jet.AI Inc.,Air Transport,Industrials,4522,United States,United States,United States
"Tapestry, Inc. (NYSE:TPR)",NYSE:TPR,TPR,"Tapestry, Inc.",Apparel,Consumer Discretionary,3100,United States,United States,United States
Ralph Lauren Corporation (NYSE:RL),NYSE:RL,RL,Ralph Lauren Corporation,Apparel,Consumer Discretionary,2300,United States,United States,United States
V.F. Corporation (NYSE:VFC),NYSE:VFC,VFC,V.F. Corporation,Apparel,Consumer Discretionary,2300,United States,United States,United States
Levi Strauss & Co. (NYSE:LEVI),NYSE:LEVI,LEVI,Levi Strauss & Co.,Apparel,Consumer Discretionary,2300,United States,United States,United States
PVH Corp. (NYSE:PVH),NYSE:PVH,PVH,PVH Corp.,Apparel,Consumer Discretionary,2300,United States,United States,United States
Columbia Sportswear Company (NasdaqGS:COLM),NasdaqGS:COLM,COLM,Columbia Sportswear Company,Apparel,Consumer Discretionary,2300,United States,United States,United States
"Kontoor Brands, Inc. (NYSE:KTB)",NYSE:KTB,KTB,"Kontoor Brands, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"Under Armour, Inc. (NYSE:UAA)",NYSE:UAA,UAA,"Under Armour, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
Hanesbrands Inc. (NYSE:HBI),NYSE:HBI,HBI,Hanesbrands Inc.,Apparel,Consumer Discretionary,2300,United States,United States,United States
"Carter's, Inc. (NYSE:CRI)",NYSE:CRI,CRI,"Carter's, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"G-III Apparel Group, Ltd. (NasdaqGS:GIII)",NasdaqGS:GIII,GIII,"G-III Apparel Group, Ltd.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"Oxford Industries, Inc. (NYSE:OXM)",NYSE:OXM,OXM,"Oxford Industries, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"FIGS, Inc. (NYSE:FIGS)",NYSE:FIGS,FIGS,"FIGS, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"Movado Group, Inc. (NYSE:MOV)",NYSE:MOV,MOV,"Movado Group, Inc.",Apparel,Consumer Discretionary,3873,United States,United States,United States
"Superior Group of Companies, Inc. (NasdaqGM:SGC)",NasdaqGM:SGC,SGC,"Superior Group of Companies, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"Lakeland Industries, Inc. (NasdaqGM:LAKE)",NasdaqGM:LAKE,LAKE,"Lakeland Industries, Inc.",Apparel,Consumer Discretionary,3842,United States,United States,United States
"PLBY Group, Inc. (NasdaqGM:PLBY)",NasdaqGM:PLBY,PLBY,"PLBY Group, Inc.",Apparel,Consumer Discretionary,2300,United States,United States,United States
"Unifi, Inc. (NYSE:UFI)",NYSE:UFI,UFI,"Unifi, Inc.",Apparel,Consumer Discretionary,2200,United States,United States,United States
"Vera Bradley, Inc. (NasdaqGS:VRA)",NasdaqGS:VRA,VRA,"Vera Bradley, Inc.",Apparel,Consumer Discretionary,3100,United States,United States,United States
"Fossil Group, Inc. (NasdaqGS:FOSL)",NasdaqGS:FOSL,FOSL,"Fossil Group, Inc.",Apparel,Consumer Discretionary,3873,United States,United States,United States
"Culp, Inc. (NYSE:CULP)",NYSE:CULP,CULP,"Culp, Inc.",Apparel,Consumer Discretionary,2211,United States,United States,United States
"Crown Crafts, Inc. (NasdaqCM:CRWS)",NasdaqCM:CRWS,CRWS,"Crown Crafts, Inc.",Apparel,Consumer Discretionary,2211,United States,United States,United States
Vince Holding Corp. (NYSE:VNCE),NYSE:VNCE,VNCE,Vince Holding Corp.,Apparel,Consumer Discretionary,2300,United States,United States,United States
"Jerash Holdings (US), Inc. (NasdaqCM:JRSH)",NasdaqCM:JRSH,JRSH,Jerash Holdings,Apparel,Consumer Discretionary,2300,United States,United States,United States
"Forward Industries, Inc. (NasdaqCM:FORD)",NasdaqCM:FORD,FORD,"Forward Industries, Inc.",Apparel,Consumer Discretionary,5047,United States,United States,United States
"Charles & Colvard, Ltd. (NasdaqCM:CTHR)",NasdaqCM:CTHR,CTHR,"Charles & Colvard, Ltd.",Apparel,Consumer Discretionary,3290,United States,United States,United States
"MGO Global, Inc. (NasdaqCM:MGOL)",NasdaqCM:MGOL,MGOL,"MGO Global, Inc.",Apparel,Consumer Discretionary,5961,United States,United States,United States
"Tesla, Inc. (NasdaqGS:TSLA)",NasdaqGS:TSLA,TSLA,"Tesla, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
General Motors Company (NYSE:GM),NYSE:GM,GM,General Motors Company,Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
Ford Motor Company (NYSE:F),NYSE:F,F,Ford Motor Company,Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Rivian Automotive, Inc. (NasdaqGS:RIVN)",NasdaqGS:RIVN,RIVN,"Rivian Automotive, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Lucid Group, Inc. (NasdaqGS:LCID)",NasdaqGS:LCID,LCID,"Lucid Group, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"THOR Industries, Inc. (NYSE:THO)",NYSE:THO,THO,"THOR Industries, Inc.",Auto & Truck,Consumer Discretionary,3790,United States,United States,United States
"Harley-Davidson, Inc. (NYSE:HOG)",NYSE:HOG,HOG,"Harley-Davidson, Inc.",Auto & Truck,Consumer Discretionary,3751,United States,United States,United States
"Winnebago Industries, Inc. (NYSE:WGO)",NYSE:WGO,WGO,"Winnebago Industries, Inc.",Auto & Truck,Consumer Discretionary,3790,United States,United States,United States
"LiveWire Group, Inc. (NYSE:LVWR)",NYSE:LVWR,LVWR,"LiveWire Group, Inc.",Auto & Truck,Consumer Discretionary,3751,United States,United States,United States
Faraday Future Intelligent Electric Inc. (NasdaqCM:FFIE),NasdaqCM:FFIE,FFIE,Faraday Future Intelligent Electric Inc.,Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
Massimo Group (NasdaqCM:MAMO),NasdaqCM:MAMO,MAMO,Massimo Group,Auto & Truck,Consumer Discretionary,3790,United States,United States,United States
"ECD Automotive Design, Inc. (NasdaqCM:ECDA)",NasdaqCM:ECDA,ECDA,"ECD Automotive Design, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
Cenntro Inc. (NasdaqCM:CENN),NasdaqCM:CENN,CENN,Cenntro Inc.,Auto & Truck,Consumer Discretionary,3710,United States,United States,United States
Workhorse Group Inc. (NasdaqCM:WKHS),NasdaqCM:WKHS,WKHS,Workhorse Group Inc.,Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Thunder Power Holdings, Inc. (NasdaqGM:AIEV)",NasdaqGM:AIEV,AIEV,"Thunder Power Holdings, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Fly-E Group, Inc. (NasdaqCM:FLYE)",NasdaqCM:FLYE,FLYE,"Fly-E Group, Inc.",Auto & Truck,Consumer Discretionary,3751,United States,United States,United States
"Envirotech Vehicles, Inc. (NasdaqCM:EVTV)",NasdaqCM:EVTV,EVTV,"Envirotech Vehicles, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
Phoenix Motor Inc. (NasdaqCM:PEV),NasdaqCM:PEV,PEV,Phoenix Motor Inc.,Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Mullen Automotive, Inc. (NasdaqCM:MULN)",NasdaqCM:MULN,MULN,"Mullen Automotive, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
Canoo Inc. (NasdaqCM:GOEV),NasdaqCM:GOEV,GOEV,Canoo Inc.,Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Ayro, Inc. (NasdaqCM:AYRO)",NasdaqCM:AYRO,AYRO,"Ayro, Inc.",Auto & Truck,Consumer Discretionary,3711,United States,United States,United States
"Volcon, Inc. (NasdaqCM:VLCN)",NasdaqCM:VLCN,VLCN,"Volcon, Inc.",Auto & Truck,Consumer Discretionary,3751,United States,United States,United States
BorgWarner Inc. (NYSE:BWA),NYSE:BWA,BWA,BorgWarner Inc.,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Gentex Corporation (NasdaqGS:GNTX),NasdaqGS:GNTX,GNTX,Gentex Corporation,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Modine Manufacturing Company (NYSE:MOD),NYSE:MOD,MOD,Modine Manufacturing Company,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Lear Corporation (NYSE:LEA),NYSE:LEA,LEA,Lear Corporation,Auto Parts,Consumer Discretionary,2531,United States,United States,United States
"Dorman Products, Inc. (NasdaqGS:DORM)",NasdaqGS:DORM,DORM,"Dorman Products, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Patrick Industries, Inc. (NasdaqGS:PATK)",NasdaqGS:PATK,PATK,"Patrick Industries, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
QuantumScape Corporation (NYSE:QS),NYSE:QS,QS,QuantumScape Corporation,Auto Parts,Consumer Discretionary,3690,United States,United States,United States
LCI Industries (NYSE:LCII),NYSE:LCII,LCII,LCI Industries,Auto Parts,Consumer Discretionary,3711,United States,United States,United States
Visteon Corporation (NasdaqGS:VC),NasdaqGS:VC,VC,Visteon Corporation,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
PHINIA Inc. (NYSE:PHIN),NYSE:PHIN,PHIN,PHINIA Inc.,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Dana Incorporated (NYSE:DAN),NYSE:DAN,DAN,Dana Incorporated,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Fox Factory Holding Corp. (NasdaqGS:FOXF),NasdaqGS:FOXF,FOXF,Fox Factory Holding Corp.,Auto Parts,Consumer Discretionary,3751,United States,United States,United States
Gentherm Incorporated (NasdaqGS:THRM),NasdaqGS:THRM,THRM,Gentherm Incorporated,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"XPEL, Inc. (NasdaqCM:XPEL)",NasdaqCM:XPEL,XPEL,"XPEL, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)",NYSE:AXL,AXL,"American Axle & Manufacturing Holdings, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Standard Motor Products, Inc. (NYSE:SMP)",NYSE:SMP,SMP,"Standard Motor Products, Inc.",Auto Parts,Consumer Discretionary,3690,United States,United States,United States
Holley Inc. (NYSE:HLLY),NYSE:HLLY,HLLY,Holley Inc.,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Solid Power, Inc. (NasdaqGS:SLDP)",NasdaqGS:SLDP,SLDP,"Solid Power, Inc.",Auto Parts,Consumer Discretionary,3690,United States,United States,United States
Cooper-Standard Holdings Inc. (NYSE:CPS),NYSE:CPS,CPS,Cooper-Standard Holdings Inc.,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Luminar Technologies, Inc. (NasdaqGS:LAZR)",NasdaqGS:LAZR,LAZR,"Luminar Technologies, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Stoneridge, Inc. (NYSE:SRI)",NYSE:SRI,SRI,"Stoneridge, Inc.",Auto Parts,Consumer Discretionary,3679,United States,United States,United States
Strattec Security Corporation (NasdaqGM:STRT),NasdaqGM:STRT,STRT,Strattec Security Corporation,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Motorcar Parts of America, Inc. (NasdaqGS:MPAA)",NasdaqGS:MPAA,MPAA,"Motorcar Parts of America, Inc.",Auto Parts,Consumer Discretionary,3690,United States,United States,United States
"Superior Industries International, Inc. (NYSE:SUP)",NYSE:SUP,SUP,"Superior Industries International, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
"Sypris Solutions, Inc. (NasdaqGM:SYPR)",NasdaqGM:SYPR,SYPR,"Sypris Solutions, Inc.",Auto Parts,Consumer Discretionary,3714,United States,United States,United States
Worksport Ltd. (NasdaqCM:WKSP),NasdaqCM:WKSP,WKSP,Worksport Ltd.,Auto Parts,Consumer Discretionary,3714,United States,United States,United States
